Orbit Semi-Major Axis,Planet Radius,Planet Mass,Equilibrium Temperature,Stellar Effective Temperature,Stellar Radius,Stellar Mass,Stellar Luminosity,Distance
,,,,3026,0.21,,,14.6427
0.00916,1.193,2.09,1089,3458,0.39,0.38,-1.708,20.373
,1.135,,,3325,0.38,,,20.373
0.026,,,,3236,0.19,0.18,-2.439,10.2525
,2.863,,369,4628.53,0.71,,,16.32
0.1915,2.61,22.7,422,4640,0.69,0.73,-0.686,16.32
0.1932,,30.63,,,0.73,0.76,-0.706,16.32
0.072,,,,3607,0.38,0.38,-1.655,3.56228
0.0717,,,550,3567,0.39,0.38,-1.663,3.56228
5.4,,,,3607,0.38,0.38,-1.655,3.56228
0.053,,,,4347,,0.69,-0.796,25.8557
0.0607,,,,,,,,15.1285
0.1254,,,,,,,,15.1285
1.0304,,,,,,,,15.1285
2.41,,,,3370,0.38,0.36,-1.796,12.356
0.103,,,,3371,,0.43,-1.886,11.9407
0.092,,,,,,0.43,,11.9407
0.129,,,,3371,,0.43,-1.886,11.9407
0.309,,,,,,0.43,,11.9407
0.283,,,,,,0.62,,28.4434
0.339,,,,,,0.58,,5.75624
0.97,,,,3564,,0.58,-1.553,5.75624
0.898,,,,,,0.58,,5.75624
0.101,,,,3542,,0.53,-1.585,23.6062
0.091101,,,,3382,0.29,0.29,-2.056,5.921535
0.036467,,,,3382,0.29,0.29,-2.056,5.921535
0.49,,,350,5540,0.9,0.9,-0.18,17.5559
0.079,,,,,,0.47,,16.6186
0.0197,,,,3717,0.5,0.68,-1.347,28.4712
0.057,,,,3717,0.5,0.68,-1.347,28.4712
0.698,,,,3717,0.5,0.68,-1.347,28.4712
1.15,,794.5,,3510,,0.42,,15.1968
0.95,,,,,,0.26,,15.1968
1.151,,,,,,0.42,,15.1968
,,,,,,0.24,,15.1968
25,,,,3510,,0.42,,15.1968
5.23,,,,,,0.42,,15.1968
4.5,,,,3900,,0.69,,20.5266
0.14339,,,,3466,0.4,0.42,-1.658,20.1903
0.1434,,,,3466,0.4,0.42,-1.658,20.1903
0.36175,,,,3466,0.4,0.42,-1.658,20.1903
0.364,,,,3466,0.4,0.42,-1.658,20.1903
0.19394,,,,3466,0.4,0.42,-1.658,20.1903
0.08208,,,,3466,0.4,0.42,-1.658,20.1903
0.03282,,,,3159,0.12,0.16,-2.569,5.37484
0.1264,,,,3159,0.12,0.16,-2.569,5.37484
0.089,,,,3526,0.44,0.47,-1.538,23.619
0.141,,,391,4005,0.58,0.64,-1.101,6.33256
0.03557,4.83,13.9,,3600,0.57,0.54,,29.4214
,,,,3552,0.5,0.5,-1.446,29.4214
0.031,3.88,13.73,604,3652,0.48,0.51,,29.4214
0.0355,4.57,13.9,594,3600,0.55,0.54,,29.4214
,,,,3552,0.5,0.5,-1.446,29.4214
0.0348,4.2,14,615,3600,0.5,0.54,-1.538,29.4214
,3.88,12.58,615,3652,0.48,0.51,-1.538,29.4214
0.03596,4.32,14.1,,,0.53,0.56,,29.4214
,,,,3552,0.5,0.5,-1.446,29.4214
,1.162,,690,3332,0.35,,,27.3644
0.01589,1.264,1.86,773,3347,0.36,0.36,-1.824,27.3644
0.0876,,,329,3347,0.36,0.36,-1.824,27.3644
0.338,,,,3081,0.14,0.12,-2.804,9.48637
0.035,1.217,1.84,525,3505,0.34,0.34,-1.798,9.44181
,1.305,,493,3505,0.36,,,9.44181
0.061,,,401,3505,0.34,0.34,-1.798,9.44181
0.204,,,220,3505,0.34,0.34,-1.798,9.44181
0.0287,,8.4,,,0.43,0.45,-1.699,20.3779
0.026,,,,3324,0.28,0.27,-2.062,13.743
0.0608,,,590,3867,0.61,0.63,-1.12,16.9287
0.029,,,,3722,0.49,0.5,-1.387,18.1459
0.089,,,,3722,0.49,0.5,-1.387,18.1459
0.0785,,,350,3563,0.39,0.39,-1.658,5.675773
0.119,,,,3323,,0.35,-1.959,12.6631
0.111,,,,,,0.35,,12.6631
0.082,,,,3387,0.41,0.41,-1.706,21.3362
0.06,,,,3472,,0.48,-1.699,9.06456
0.06,,,,3461,0.5,0.59,,9.06456
0.062,,,,,,0.48,,9.06456
0.058,,,,3600,,0.48,-1.469,9.06456
4.819,,,,,,0.48,,9.06456
3.6,,,,3472,,0.48,-1.699,9.06456
0.178,,,,,,0.48,,9.06456
,,25.4,,3479,0.45,0.45,,9.75321
0.029,4.26,23.201,650,,,,,9.75321
0.02887,4.091,23.42407,669,3500,0.45,0.46,,9.75321
,,,,3500,,,,9.75321
0.03109,4.191,23.13802,686,3350,,,,9.75321
0.0308,4.1,25.4,,3416,0.46,0.56,,9.75321
,4.04,,,3500,0.45,0.45,,9.75321
0.0291,4.17,22.1,,,0.46,0.47,,9.75321
0.028,,,,3456,0.43,0.42,-1.633,9.75321
0.0278,,,,3456,0.43,0.42,-1.633,9.75321
0.0278,,,,,,0.41,,9.75321
0.02872,4.222,23.1688,649,3350,0.46,0.45,-1.585,9.75321
0.02872,4.2,23.1,,,0.45,,,9.75321
,,21.67601,,,,0.45,,9.75321
0.0287,3.96,,,3585,0.44,0.45,,9.75321
,,,,3456,0.43,0.42,-1.633,9.75321
0.0285,,,,3350,,0.44,-1.62,9.75321
0.0278,,,,3456,0.43,0.42,-1.633,9.75321
0.068,,,,,,0.45,,14.2358
43.5,,1271.3,510,6234,,1.22,0.332,17.5299
0.06661,,,,3685,0.5,0.52,-1.377,10.4092
0.067,,,,3674,0.51,0.51,-1.373,10.4092
0.040616,,,,,0.29,0.31,-1.886,6.2981
0.04061,,,,3396,0.33,0.31,-1.885,6.2981
0.041,,,,,0.29,0.31,-1.886,6.2981
0.041,,,,3396,0.33,0.31,-1.885,6.2981
0.04,,,,,,,,6.2981
0.07,,,,,,,,6.2981
0.0721,,,,3396,0.33,0.31,-1.885,6.2981
0.072993,,,,,0.29,0.31,-1.886,6.2981
0.074,,,,3396,0.33,0.31,-1.885,6.2981
0.028453,,,,,0.29,0.31,-1.886,6.2981
0.03,,,,,,,,6.2981
0.029,,,,3396,0.33,0.31,-1.885,6.2981
0.02815,,,,3396,0.33,0.31,-1.885,6.2981
0.078361,,,,3499,0.31,0.3,-1.894,6.47249
1.135,,,,3700,,0.54,,10.3796
0.0505,,,,3350,,0.33,-1.863,7.24396
0.050431,,,,3650,,,,7.24396
0.05,,,,3650,,,,7.24396
0.049,,,,,,,,7.24396
0.12501,,,,3650,,,,7.24396
0.125,,,,3650,,,,7.24396
0.123,,,,,,,,7.24396
0.125,,,,3350,,0.33,-1.863,7.24396
0.213,,,,3350,,0.33,-1.863,7.24396
0.156,,,,3350,,0.33,-1.863,7.24396
0.549,,,,3350,,0.33,-1.863,7.24396
0.039,,,,3600,,0.35,-1.796,4.54896
1.82,,,,,,,,16.0272
1.8,,,,,,0.71,,16.0272
1.812,,2129.461,,,,,,16.0272
1.82,,,,3734,0.69,0.73,,16.0272
6.6,,,,,,,,16.0272
,,,,,,,,16.0272
0.0413,,,,,,0.71,,16.0272
,,,,,,,,16.0272
0.187,,,,,,0.71,,16.0272
0.08,,,,3028,,0.27,-2.699,5.00671
